Name,Gender,Race,Appearance,Background,Goals,Personality,Profession,Quest Reward,Secret,Mothers Name,Fathers Name,Number of Brothers,Number of Sisters
Alaw Dow,Female,Human,Limps,Practiced magic before a traumatizing accident,Murder someone,Stares into the distance,Soapmaker,Loan you property,Is having an affair,Elena,Wilte,1,1
Niro Tyre,Male,Human,Fiery eyes,Lost a magic item with potent abilities,Return home despite obstacles,Very jealous and possessive about a particular object or person; tends to view others as rivals and treat them as such,Alchemist,Raise a child or care for another relatively helpless creature,Knows the best fishing spot,Aerona,Llwydeu,0,0
Jaenelle Campbell,Female,Human,Hacking cough,Lost a magic item with potent abilities,Avoid bankruptcy,Prays a lot,Bard,Become your follower,Knows how to placate an angry ghost,Cerys,Glew,0,0
Gaenor Matasan,Female,Human,Noticably bigger right arm,Failed priest,Learn necromantic magic and ressurect Grandmother,Makes lots of threats but swiftly backs down if challenged,Roustabout,Sell you goods at a discount,Is making liquor illegally,Efa,Yesirn,0,0
Llwybyr Gow,Male,Dragonborn,Glass eye,Pledged to keep a fantastic secret,Cross an ocean,Very mellow; advises people to take a philosophical approach to both success and failure,Tool Maker,Sharpen your weapons,Knows who the murderer is,Ebrill,Achard,0,0
Alice Munna,Female,Human,Pronounced scar,Former devout discipline now cynical non-believer,Rule a country,Drinks everyone under the table,Warrener,Carry a message for you,Knows where a magic item is buried,Mai,Waljan,0,0
Rethik Calbraith,Male,Half Elf,Blonde hair,Passed a guild test but too disillusioned to practice,Hunt and kill a particular sort of monster,Refers to self in third person,Weapons Dealer,Tend your mount,Is a member of a secret local cult,Mai,Ieli,0,0
Anwyn Sutherland,Female,Human,Very clean,Former devout discipline now cynical non-believer,Learn to read/write (secretly can't),Prays a lot,Gravedigger,Praise you loudly in public,Hears voices in the graveyard,Wesolyne,Darmor,0,0
Galiron Kelso,Male,Human,Horrible facial scars,Practiced magic before a traumatizing accident,Hunt and kill a particular sort of monster,Gives people treats (cookies candy etc.),Fisherman,Organize a festival or other public event,Is being blackmailed,Andonna,Hezak,0,1
Celthric Roy,Male,Halfling - Stout,Strangely tall,Reformed criminal,Continue to live in family estate despite danger,Expert dart thrower and rock skipper,Armorer,Compose a song praising your heroic qualities,Drinks heavily,Jezzine,Nikpal,2,3
Rhithik Cèamp,Male,Human,Unusual skin color,Falsely convicted and then escaped from jail,Marry a childhood sweetheart,Always has a reason why something won’t work,Bearer,Start a fight for you,Knows how to get the oracle to answer truthfully,Anna,Tempist,0,4
Bewul Blane,Male,Elf - High,Spits,Former alchemy lab assistant,Travel,Prone to singing whistling or humming quietly,Pardoner,Wait for a specific event and then light a signal fire,Engages in some deviant behavior,Jame,Floran,0,0
Fflewdwr Geadasach,Male,Human,Strangely tall,Refugee from land overrun by evil,Find buried treasure,Wishes was a cat and seeks someone to polymorph him/her into one,Footman,Sell you goods at a discount,Knows how to safely cook a poisonous fish,Meliara,Quiss,4,0
Kesmon Purcell,Male,Human,Glasses,Pious member of a notorious family,Humiliate a rival,Great at impersonations,Steward,Tell you forbidden lore,Knows some local secret,Pythe,Unig,0,0
Idon Dunnet,Male,Human,Very hairy,Comes from a long line of tanners,Improve the local town,Paints beautifully,Bowyer,Tell you forbidden lore,Is an assassin,Melusine,Beeron,0,0
Ofydd Melluish,Male,Human,Wide mouthed,Wanted for serious crime,Own a winery/brewery,Tells people the “real” reason they do things,Chronicler,Compose a poem praising your prowess,Is quietly religious,Polgara,Yssith,4,0
Trinsa Guinne,Female,Human,Many tattoos,Used to have to beg for food,Help child get a good start in life,Brings own food and drink,Almoner,Offer the hand of a relative in marriage,Is the bastard child of a noble,Sian,Reaper,0,0
Veseere McCowan,Female,Human,Warts,Military veteran,Build a house for future generations,Seems slightly surprised whenever anyone else has a good idea or does something productive,Silversmith,Become your friend,Knows someone is not what appears to be,Catrin,Kyvwlch,0,0
Hen Beddestyr McPhee.,Male,Human,No fingers on one hand,Inadvertently saved the life of a future villain,Get in better shape and learn to fight,Grumbles and complains about the difficulties involved in any requested activities,Hedge-layer,Offer you a pet (dog cat pig etc.),Has a secret stash of funds,Olwen,Loban,0,0
Wyeth Donald,Male,Human,Double-chinned,Former witch hunter,Learn to read/write (secretly can't),Polite but calls attention to it with elaborate bows or other gestures,Torturer,Wait for a specific event and then light a signal fire,Knows someone is not what appears to be,Mairwen,Brathach,2,0
Narisa Murchie,Female,Human,No fingers on one hand,Abandoned spouse and children,Impress a disapproving parent,Know-it-all,Appraiser,Write a letter or make some other sort of appeal to an authority figure on your behalf,Is being blackmailed,Linyah,Cystennin,1,0
Atgur Gilchrist,Male,Human,No fingers on one hand,Once owned an inn that was burnt down by bandits,Impress a love interest,Slurs words lisps or stutters,Sineater,Tell you forbidden lore,Makes secret donations,Zana,Ysgonan,0,0
Willican M'iken,Male,Human,Horrible facial scars,Reformed criminal,Own a winery/brewery,Intellectual bully,Butler,Publicly protest against a ruler or other powerful being,Is a spy,Myfi,Marderdeen,1,3
Elinor Grierson,Female,Human,Comb-over bald patch,Failed priest,Get into the history books,Unbelievably lucky,Blacksmith,Boycott one of your rivals or enemies,Is a paladin working undercover,Ahanna,Derrin,0,4
Winter Blair,Female,Human,Missing a leg,Passed a guild test but too disillusioned to practice,Become a monster,Easily distracted by minor events in the area,Fowler,Provide you with an alibi,Is being blackmailed,Ikini,Fickfylo,0,0
Nerthach Bayne,Male,Goliath,Missing a hand,Childhood playmate of somebody important,Start own business,Frequently uses the wrong word,Sineater,Carry your belongings,Is secretly related to another NPC,Tagwen,Heramon,0,0
Lila Ferries,Female,Human,Bald,Once owned an inn that was burnt down by bandits,See an angel,Continually mentions a heroic battle he was in and how nothing else compares,Ambassador,Buy you a reasonable gift,Is making liquor illegally,Desini,Kirder,1,3
Olwen Murchison,Female,Human,Boils,Passed a guild test but too disillusioned to practice,Get married,Paints beautifully,Peddler,Lie or cheat for you,Worships an evil deity,Gwawr,Gybrush,0,0
Cadwy Innes,Male,Human,Double-chinned,Monster reincarnated as a human,Survive a journey to Avernus,Speaks with great formality; never uses contractions and employs bigger words than necessary,Sineater,Tell you forbidden lore,Has a secret stash of funds,Adorra,Bacohl,4,0
Gai Comyn,Male,Human,One eye,Pledged to keep a fantastic secret,Prove noble heritage,Makes up seemingly arbitrary rules of etiquette (“Redheads always sit on the left side of the table!”),Magistrate,Become your henchman/woman,Definately not a doppelganger,Adorra,Cusmirk,0,0
Kynwyl Anderson,Male,Human,Sweet smile,Military veteran,Get proof that the afterlife exists before dying,Acts like someone from a lower social class as a sign of solidarity but comes across as offensive instead,Masseuse,Organize a festival or other public event,Is making liquor illegally,Delwen,Kenn,0,0
Eiladar Cloud,Male,Human,Many tattoos,Orphaned,Complete some sort of creative work (write a playcarve a statue etc.),Makes up seemingly arbitrary rules of etiquette (“Redheads always sit on the left side of the table!”),Hornmaker,Call in an important favor and use it on your behalf,Murdered spouse,Amaerilde,Duran,0,0
Jesco Blane,Male,Human,Yellow teeth,Practiced magic before a traumatizing accident,Impress a love interest,Draws beautifully,Scaffolder,Follow someone for you,Knows why no one swims in the millpond anymore,Arcadia,Cnychwr,2,1
Mythil Adam,Male,Human,Beard,Passed a guild test but too disillusioned to practice,Start own business,Makes snap judgments about people or situations and tries to diminish any later evidence contradicting that first impression,Butler,Follow someone for you,Is terrified of a particular monster type,Gwyneth,Bein,1,2
Dalavesta Andie,Female,Human,Winks a lot,Ran away from a duel,Impress a disapproving parent,Always has a reason why something won’t work,Builder,Start a fight for you,Worships an evil deity,Q’ara,Gamon,0,0
Sinnoch Catanach,Male,Human,Horrible facial scars,Left at the altar,Move out of parents’ house,Gives people little colored cards to represent the emotional state they are creating (blue for sad red for angry etc.),Keeper,Name a child after you,Knows a particular monster’s favorite snack,Mabeline,Beda,2,1
Noemi Gilbert,Female,Firbolg,One pierced ear,Former sickly child who overcompensates as an adult,Visit the next village,Terrified of disease and sick people,Skinner,Perform a skill check for you,Murdered spouse,Yviene,Justal,0,0
Tempist Braden,Male,Human,Very white teeth,Lost a magic item with potent abilities,Hunt and kill a particular sort of monster,Can’t stop drinking once starts,Slaver,Sell you goods at a discount,Makes secret donations,Ryiah,Morgant,2,1
Sildo Watson,Male,Human,Obviously dyed/unnaturally,Abandoned spouse and children,Find buried treasure,Easily distracted by minor events in the area,Armorer,Follow someone for you,Is a member of a secret local cult,Efa,Gwyn,0,2
Ina Morrow,Female,Tiefling,Tribal scar on forearm,Used to have to beg for food,Learn necromantic magic and ressurect Grandmother,Constantly suggesting ways to make activities more “fun” and “exciting”,Barbarian,Sell you goods at a discount,Is wanted for a crime,Eowyn,Teirwaedd,3,2
Wmffre Ariss,Male,Asasimar,Moustache,Criminal who retired after betraying rest of gang,Grow hair so long it can be used as a scarf,Never uses one word when ten will do,Fire Eater,Sell you goods at a discount,Knows someone is not what appears to be,Glenys,Cespar,3,2
Carys Braden,Female,Human,Horrible facial scars,Disgraced noble,Find a missing child,Easily moved to tears,Butcher,Carry your belongings,an attractive peasant,Zestia,Mael,0,1
Zathe Paterson,Female,Human,Long fingers,Former torturer,Overcome a significant personal vice,Thinks most objects are magical wondrous items,Rope Maker,Gather supplies for you,Knows the best fishing spot,Niraya,Cayold,2,4
Amara Graeme,Female,Human,Ragged dirty clothes,Former witch hunter,Become a hero,Know-it-all,Gamekeeper,Carry a message for you,Hears voices in the graveyard,Glenys,Llwydawg,2,4
Philadona S'ars,Female,Human,Obviously dyed/unnaturally,Abusive childhood,Improve the local town,Doesn’t kill insects or other pests gently moves them out of the way instead,Oracle,Take the blame (and punishment) for a minor crime,Knows command word for a magic item,Elodie,Sabal,0,0
Kimball Bishop,Male,Human,Club-footed,Former indentured servant,Cross an ocean,Great at impersonations,Locksmith,Will give you mysterious egg,Knows where the meteor landed,Ecematare,Fraderk,0,0
Eurwen Graham,Female,Human,Tattoo,Former artist suffering from a creative block,Return home despite obstacles,Expert carpenter,Tanner,Buy you a substantial gift,Is a member of a secret local cult,Mabel,Gruddyeu,0,4
Melusine Dòmhnallach,Female,Human,Noticably bigger right arm,Once owned an inn that was burnt down by bandits,Earn enough money to retire,Terrified of disease and sick people,Sage,Offer you a pet (dog cat pig etc.),Is a habitual liar,Brangwen,Bayde,0,0
Siriol Darach,Female,Human,Major deformity,Escaped slave,Commit a holy text to memory,Unbelievably lucky,Pilot,Name a child after you,Is beaten by his/her spouse,Parthinia,Adwr,0,0
Charlotte Bryden,Female,Half Orc,Clawed hands,Falsely convicted and then escaped from jail,Improve the local town,Always has a reason why something won’t work,Historian,Organize a festival or other public event,Knows how to safely cook a poisonous fish,Nest,Eiladar,4,3
Sabriel Breac,Female,Human,Glasses,Died but came back through magic,Get married,Is a failed actor and blames everyone else for it,Herbalist,Pay for your meals,Has a secret identity,Sina,Gormant,0,0
Tolle Larnach,Male,Human,Tall,Escaped slave,Learn necromantic magic and ressurect Grandmother,Always tries to find a compromise,Acrobat,Carry your belongings,Owes the local moneylender substantial funds,Aerin,Jamik,0,0
Zula English,Female,Human,Yellow teeth,Practiced magic before a traumatizing accident,Get cured of a disease or other affliction,Says as little as possible,Bearer,Buy you a substantial gift,Hears voices in the graveyard,Senira,Enro,3,4
Laracal Archbold,Male,Human,Stubby fingers,Military veteran,Redeem family name,Explains simple things that don’t need explanations,Weaponsmith,Offer the hand of a relative in marriage,Has some orc blood in their family,Chivahle,Voudim,3,2
Polgara Davidson,Female,Human,Tattoos,Died but came back through magic,Improve the local town,Brings own food and drink,Gentleman,Provide you with an alibi,Can grow hair if they push really hard,Eirian,Clyde,4,0
Basete Malloch,Female,Human,One eye,Abandoned spouse and children,Find a new home for a mistreated animal,Twirls hair or tugs beard,Siege Engineer,Provide shelter,Knows the best fishing spot,Gvene,Ceithin,0,0
Cranogwen Meechan,Female,Human,Rotten teeth,Disgraced noble,Continue to live in family estate despite danger,Twirls hair or tugs beard,Officer,Tell you forbidden lore,Knows a particular monster’s favorite snack,Gwlithen,Clud,0,0
Orwyne Bain,Female,Human,Cross-eyed,Ran away as a youth and joined the circus,Sire a child,Always tries to be the center of attention,Footman,Become your henchman/woman,Knows how to safely cook a poisonous fish,Mara,Ab-Owen,3,4
Men Allanach,Female,Human,Hobbles,Used to have to beg for food,Improve the local town,Speaks in rhyme or some other peculiar way,Milkmaid,Publicly protest against a ruler or other powerful being,Has some orc blood in their family,Siwan,Merin,1,4
Alixana Dòmhnullach,Female,Human,Covered in tattoos,Failed merchant,Humiliate a rival,Very mellow; advises people to take a philosophical approach to both success and failure,Cleric,Introduce you to a friend,Knows where to contact the fey,Gwynedd,Trahern,0,0
Aghon Dubh,Male,Gnome - Forest,Homely,Former indentured servant,Move out of parents’ house,Collects small relatively worthless objects like spoons salt shakers or wine corks; enthusiastically inspects any encountered and extols their “unique” qualities,Gamekeeper,Take the blame (and punishment) for a minor crime,Has some troll blood in their family,Bethe,Uther,2,3
Leri Robison,Female,Human,Very hairy,Falsely convicted and then escaped from jail,Become the recipient of an actual miracle,Is a failed actor and blames everyone else for it,Mercer,Wait for a specific event and then light a signal fire,Knows who the murderer is,Mai,Eiddon,3,1
Maris English,Female,Human,Picks teeth nervously,Recovering addict,Rule a country,Makes lots of threats but swiftly backs down if challenged,Sculptor,Raise a child or care for another relatively helpless creature,Definately not a doppelganger,Senira,Dalldav,4,0
Seith Gilchrist,Male,Human,Scarred,Military veteran,Impress a disapproving parent,Very cheerful; tries to raise downcast spirits with songs jokes and uplifting stories,Jester,Offers a smooth high five,Is being blackmailed,Owena,Lloyd,3,4
Niraya Niven,Female,Human,Very white teeth,Starving artist,Murder someone,Plays a musical instrument,Captain,Tell you forbidden lore,Has some troll blood in their family,Nest,Gwri,0,0
Vespar Gellion,Male,Human,Tattoos,Used to have to beg for food,Going on an adventure with the party,Is a very distant noble and treats lower orders with disdain,Herald,Carry your belongings,Is having an affair,Sina,Berwyn,0,1
